title,link,description
HR Data Analytics Intern,https://www.remoterocketship.com/company/esvolta/jobs/hr-data-analytics-intern-united-states,"• Build an HR Data & Performance Insights Playbook.
• Audit and revise existing performance review templates and competency mappings.
• Define key HR metrics that align with business goals and investor expectations.
• Propose a scalable framework or dashboard for future data collection.
• Conduct research on current academic and industry trends in professional development and succession planning.
• Present recommendations and a final deliverable to HR leadership.
• Support the Recruitment & Talent Development Manager with applicant tracking system (JazzHR) data cleanup.
• Assist in scheduling and coordinating interviews.
• Help create compelling job post content for LinkedIn and other platforms. • Student pursuing a bachelor’s degree in human resources, business or a related field.
• Coursework in HR Analytics, Talent/Performance Management and Staffing preferred.
• Curious, proactive and organized.
• Strong communicator with excellent writing and research skills.
• Familiarity with Excel or HR systems is a plus. • Real-world project experience with executive visibility.
• Mentorship and collaboration with seasoned HR leaders.
• Exposure to modern HR tech tools (JazzHR, BambooHR, etc.).
• A final deliverable that’s both resume-worthy and company-impacting."
Data Analyst,https://www.remoterocketship.com/company/twilio/jobs/data-analyst-colombia,"• The position is needed to provide actionable insights into strategic operations initiatives through the application of expertise in quantitative analysis, technical systems, and leadership in analytics.
• Twilio’s Customer Experience Ops Customer Intelligence team is looking for a curious and action-oriented analyst with a passion for using data to influence decision making and deliver product insights.
• The ideal candidate is comfortable navigating complex problems, determining the right data to focus on, and able to derive insights and recommendations based on disparate data.
• This role interacts with stakeholders at all levels throughout the organization and helps inform product, compliance, and delivery strategy. • 3-5 years of professional experience performing quantitative analysis, building dashboards and reports, working with business partners to convert ambiguous, messy data into tangible and actionable results that influence product and business impacting decisions in a fast paced industry.
• Ability to think strategically and initiate, refine, and complete projects with minimal guidance in an often ambiguous environment.
• Excellent verbal and written communication skills.
• Proficient level experience writing, developing, and performing data deep dives and writing complex queries in SQL and SQL-like relational data languages
• Minimum 2 years Tableau experience developing and managing dashboards is required.
• Demonstrated ability in building reports, metrics, dashboards, etc. for analytics projects that often require data preparation processes such as data extraction, cleansing, mapping, loading and operationalizing workflows in production. • competitive pay
• generous time-off
• ample parental leave
• wellness leave
• healthcare
• retirement savings program
• and much more"
Data Analyst,https://www.remoterocketship.com/company/dataideology/jobs/data-analyst-united-states,"• Conduct in-depth analysis using the data warehouse to identify trends, patterns, and insights.
• Interpret complex data sets and communicate findings to both technical and non-technical stakeholders.
• Assist with ETL processes to extract, transform, and load data from various sources.
• Collaborate with IT teams to create seamless data integrations.
• Perform thorough data validation and testing to ensure the highest possible data quality.
• Clearly define and communicate when quality standards are not being met.
• Perform root cause analysis to identify the underlying or fundamental causes of an issue or problem.
• Work closely with cross-functional teams, including IT and business stakeholders, to align on goals and key deliverables.
• Accurately document data mappings and definitions. • Bachelor’s degree in healthcare or computer science related field preferred, but not necessary.
• 2+ years’ experience with any programming language (SQL, PLSQL, R, Python, etc)
• 2+ years’ experience in data analytics on any data warehouse (Oracle, SQL, Snowflake)
• Healthcare experience a plus
• Agile/SAFe experience a plus"
Data Analyst III,https://www.remoterocketship.com/company/centene/jobs/data-analyst-iii-united-states,"• Responsible for analytic data needs of the business unit
• Handle complex data projects and acts as a lead for other Data Analysts
• Provide advanced analytical support for business operations in areas such as: claims, provider data, member data, clinical data, HEDIS, pharmacy, external reporting
• Extract, load, model, and reconcile large amounts of data across multiple system platforms and sources
• Review data to determine operational impacts and needed actions; elevate issues, trends, areas for improvement and opportunities to management
• Develop reports and deliverables for management
• Model data using MS Excel, Access, SQL, and/or other data ware house analytical tools
• Ensure compliance with federal and state deliverable reporting requirements by performing data quality audits and analysis
• Assist with training and mentoring other Data Analysts
• Performs other duties as assigned
• Complies with all policies and standards • Bachelor’s degree in related field or equivalent experience
• 4+ years of statistical analysis or data analysis experience
• Healthcare experience preferred
• Experience managing projects or heavy involvement in project implementation • competitive pay
• health insurance
• 401K and stock purchase plans
• tuition reimbursement
• paid time off plus holidays
• flexible approach to work with remote, hybrid, field or office work schedules"
"Manager, Data Analytics - Reporting, SQL, Power BI",https://www.remoterocketship.com/company/centene/jobs/manager-data-analytics-reporting-sql-power-bi-india,"• Oversee and ensure accurate, timely, and efficient reporting related to all core business functions
• Ensure the timeliness and accuracy of internal and external report deliverables
• Manage scheduled and adhoc reporting needs of the organization
• Execute and manage the completion of large reconciliation tasks
• Responsible for the quality and completeness of data in core systems by performing and overseeing the auditing of data
• Oversee large systems and data related projects
• Mentor and manage a team of data analysts of variable skill and practice levels
• Lead and execute complex data related analytical projects to drive business decisions and efficiencies • Bachelor’s degree in Business Administration, Computer Science or IT, related field or equivalent experience
• 4+ years of statistical analysis or data analysis experience
• Medicare and Medicaid managed care experience a plus
• Knowledge of various data mining, reporting, and reconciliation tools and methodologies
• Advanced systems and software knowledge in MS Access and Excel, SQL, Business Objects, and data warehousing
• Amysis experience preferred
• Experience working with diverse business groups within a matrix environment
• Project management experience preferred • competitive pay
• health insurance
• 401K and stock purchase plans
• tuition reimbursement
• paid time off plus holidays
• flexible approach to work with remote, hybrid, field or office work schedules"
"Manager, Data Analytics & Reporting",https://www.remoterocketship.com/company/centene/jobs/manager-data-analytics-reporting-united-states,"• Oversee and ensure accurate, timely, and efficient reporting related to all core business functions
• Ensure the timeliness and accuracy of internal and external report deliverables
• Manage scheduled and adhoc reporting needs of the organization
• Execute and manage the completion of large reconciliation tasks
• Responsible for the quality and completeness of data in core systems by performing and overseeing the auditing of data
• Oversee large systems and data related projects
• Mentor and manage a team of data analysts of variable skill and practice levels
• Lead and execute complex data related analytical projects to drive business decisions and efficiencies • Bachelor’s degree in Business Administration, Computer Science or IT, related field or equivalent experience.
• 4+ years of statistical analysis or data analysis experience.
• Medicare and Medicaid managed care experience a plus.
• Knowledge of various data mining, reporting, and reconciliation tools and methodologies.
• Advanced systems and software knowledge in MS Access and Excel, SQL, Business Objects, and data warehousing.
• Amysis experience preferred.
• Experience working with diverse business groups within a matrix environment.
• Project management experience preferred.
• Strong background and experience with hands on and managing team building
• Data visualization tools (great bonus if strong with PowerBI given that is the main tool we use in house).
• Experience working with large data sets and End to end data solutioning process with technical teams (e.g. bus/tech scoping, wireframing, technical dev/build, deployment of data visualization, and maintenance). • competitive pay
• health insurance
• 401K and stock purchase plans
• tuition reimbursement
• paid time off plus holidays
• flexible approach to work with remote, hybrid, field or office work schedules"
Data Analyst,https://www.remoterocketship.com/company/quid-solutions-2/jobs/data-analyst-mexico,"• Be part of a dynamic and innovative team where your skills will drive meaningful contributions to high-impact projects.
• Collaborate closely with talented Data Scientists and client teams to analyze, visualize, and interpret patterns, providing actionable insights that enhance operational and strategic outcomes in a fast-paced, rewarding environment.
• Support the aggregation and compilation of large datasets, validate data accuracy, and assist in creating insightful visualizations to enable impactful, data-driven decision-making. • Experiencia comprobada en análisis de datos, incluyendo limpieza y agregación de datos.
• Fuerte dominio en Excel, incluyendo funciones avanzadas para manipulación de datos.
• Experiencia en SQL para consultar, gestionar y optimizar conjuntos de datos.
• Familiaridad con Tableau o herramientas similares para crear visualizaciones dinámicas y paneles de control.
• Fluidez en inglés para comunicarse efectivamente con equipos y partes interesadas.
• Capacidad para validar y asegurar la calidad de los datos procesados por equipos offshore.
• Preferencias 
• Experiencia previa colaborando con Científicos de Datos en pruebas de hipótesis y reconocimiento de patrones.
• Capacidad para crear paneles de control que presenten de manera efectiva información clave a audiencias no técnicas.
• Fuertes habilidades de resolución de problemas y atención al detalle en la verificación y visualización de datos.
• Familiaridad con el apoyo a equipos interfuncionales en iniciativas impulsadas por datos. • Aguinaldo y vacaciones : Por ley.
• Vales de Despensa
• Seguro de Vida
• Seguro Mayor Médico : Cobertura individual"
Data Analyst,https://www.remoterocketship.com/company/navaide/jobs/data-analyst-united-states,"• Analyze, interpret, and present large datasets to support decision-making for internal teams and clients.
• Collaborate with cross-functional teams to define business requirements and develop data models to meet project goals.
• Ensure data quality, accuracy, and integrity across all data systems and reports.
• Use data visualization tools to create clear, actionable reports and dashboards that communicate key trends and insights.
• Support the automation of data workflows and processes to improve efficiency and accuracy in data management.
• Conduct thorough data analysis to identify patterns, trends, and anomalies that impact business outcomes.
• Provide training and guidance to team members on data analytics tools, techniques, and best practices.
• Stay current with emerging trends in data analytics, AI, and automation technologies to apply innovative solutions. • Five plus years of experience in data analysis, preferably within consulting or DOD.
• Strong proficiency with data analysis and visualization tools such as SQL, Excel, Tableau, Power BI, or similar.
• Proven ability to work with large, complex datasets and derive actionable insights.
• Strong analytical and problem-solving skills with attention to detail.
• Experience with data modeling and database management.
• Excellent communication skills, with the ability to present technical findings to non-technical stakeholders.
• Familiarity with Python, R, or other programming languages for data analysis is a plus."
Data Analytics and Visualization,https://www.remoterocketship.com/company/https-7/jobs/data-analytics-and-visualization-canada,"• Understands and articulates the business case of business questions and the estimated value being delivered.
• Designs dashboards and analyses to be performed, and appropriate visualization and analytics tools to use.
• Identifies trends and patterns to address identified business questions and provide insights through reporting and data visualization techniques.
• Works with other data and analytics professionals to optimize, update, refine, automate and scale analysis into repeatable analytics solutions and decision support tools.
• Builds various reporting dashboards using the most appropriate data extraction, data cleaning and data visualization techniques.
• Provides value through insights, reporting and data visualization techniques.
• Selects, configures and implements analytics solutions for consistency and repeatability.
• Researches and applies continuous improvement in data visualization by identifying trends and patterns to transform raw data into actionable business insights.
• Works with different teams, management and stakeholders to enhance the usability and aesthetic appeal of solutions deployed in the organization.
• Translates business needs to technical specifications and evaluates existing data visualization systems in order to improve them.
• Develops data visualizations of ""large"" amounts of data that facilitate the intuitive presentation of data to decision makers.
• Documents data flow, systems and processes to improve the design, implementation and management of business/group processes.
• Develops tools and delivers training programs for use of reporting tools and self-serve analytics by non-analytical end users; may include delivery of training to audiences.
• Focus is primarily on business/group within BMO; may have broader, enterprise-wide focus.
• Exercises judgment to identify, diagnose, and solve problems within given rules.
• Works independently on a range of complex tasks, which may include unique situations. 
• Broader work or accountabilities may be assigned as needed. • Foundational level of proficiency: Technical design optimization.
• Decision Making.
• Systems Thinking.
• Data visualization.
• Data storytelling.
• Data mining.
• Illustration.
• Creative thinking.
• Problem Solving.
• Intermediate level of proficiency: Insights design.
• Insights development and reporting.
• Verbal & written communication skills.
• Collaboration & team skills.
• Analytical and problem solving skills.
• Data driven decision making.
• Typically between 4 - 6 years of relevant experience and post-secondary degree in related field of study or an equivalent combination of education and experience.
• Technical proficiency gained through education and/or business experience. • health insurance
• tuition reimbursement
• accident and life insurance
• retirement savings plans"
Data Analyst,https://www.remoterocketship.com/company/corrohealth/jobs/data-analyst-united-states,"• The Data Analyst will help increase a hospital’s bottom line by analyzing large volumes of hospital claim data for payment accuracy and assisting with data ingestion.
• Analysts are challenged to constantly improve the team’s ability to identify and capture revenue opportunities in a more efficient manner for hospitals.
• Collaborate to analyze, develop, and produce meaningful data using MySQL, Alteryx, Excel, Access and some VBA/Python programming languages.
• Extract, clean, and validate data from new and existing clients.
• Develop, troubleshoot, and configure tools and workflows to facilitate analysis of revenue cycle data.
• Provide support, optimization, and maintenance of internal applications and technical tools.
• Proactively look for solutions and enhancements to internal technical processes.
• Communicate issues when they arise, present solutions to the challenges, and update documentation records.
• Validate, analyze, and provide reporting for internally and externally generated data.
• Contribute to a culture that values knowledge sharing, learning/improving, best practices, quality results, client services, and team efforts.
• Experience with MS Office 365 Suite - will use on a day-to-day basis. • Must have BA degree or work experience equivalent
• Experience working in Healthcare Revenue Cycle
• Data visualizations: Prior use of Qlik and/or Tableau
• Advanced working knowledge of Excel with the ability to create workbooks, pivot tables, VLOOKUP, graphs, macros, VBA
• Experience with data in
• Familiarity with a programming language (MySQL/Python preferred)
• Experience with Alteryx or other similar tools
• Aptitude for researching and troubleshooting
• Ability to work both independently and in a team environment and interact with internal/external customers
• Ability to translate technical requirements/language for a non-technical audience"
